name,lat,lng,municipality,ngbe_type,ngbe_code,source,date,arcgis_objectid
Cacicedo,43.434691,-3.873902,CAMARGO,NGBE,2.1.4,,,13403
Cadalso,42.832887,-3.885500,VALDERREDIBLE,NGBE,2.1.4,,,13404
Cades,43.304078,-4.468506,HERRERÍAS,NGBE,2.1.4,,,13405
Cahecho,43.160523,-4.553406,CABEZÓN DE LIÉBANA,NGBE,2.1.4,,,13406
Caldas,43.251712,-4.599673,PEÑARRUBIA,NGBE,2.1.9,https://pares.cultura.gob.es/catastro/servlets/ServletController?accion=4&opcionV=3&orden=0&loc=12141&pageNum=1,1749-1753,5653
Calga,43.200073,-4.020081,ANIEVAS,NGBE,2.1.9,,,5660
Callecedo,43.109131,-4.419799,POLACIONES,NGBE,2.1.9,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Callecedo&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,959
Caloca,43.042114,-4.561706,PESAGUERO,NGBE,2.1.4,,,13407
Calseca,43.240295,-3.690978,RUESGA,NGBE,2.1.4,,,13408
Camaleño,43.150696,-4.694702,CAMALEÑO,NGBE,2.1.9,,,960
Camaleño,43.150696,-4.694702,CAMALEÑO,NGBE,2.1.3,,,14022
Camargo,43.405047,-3.884732,CAMARGO,NGBE,2.1.4,,,13409
Cambarco,43.149933,-4.563136,CABEZÓN DE LIÉBANA,NGBE,2.1.4,,,13410
Camesa,42.895875,-4.166626,VALDEOLEA,NGBE,2.1.4,,,13411
Camijanes,43.328126,-4.484925,HERRERÍAS,NGBE,2.1.4,,,13412
Camino,43.034485,-4.171508,HERMANDAD DE CAMPOO DE SUSO,NGBE,2.1.4,,,13413
Campillo,43.205871,-3.759582,SELAYA,NGBE,2.1.6,,,1645
Campillo,43.205871,-3.759582,SELAYA,NGBE,2.1.9,,,5694
Camplengo,43.393494,-4.093384,SANTILLANA DEL MAR,NGBE,2.1.9,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Camplengo&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,5704
Campo de Ebro,42.795772,-3.966030,VALDERREDIBLE,NGBE,2.1.4,,,13414
Campollo,43.121277,-4.654297,VEGA DE LIÉBANA,NGBE,2.1.4,,,13415
Campu,42.999962,-4.250855,HERMANDAD DE CAMPOO DE SUSO,Autonómico,2.1.6,,,316346
Campuzano,43.341135,-4.058201,TORRELAVEGA,NGBE,2.1.9,,,5797
Canales,43.345520,-4.270019,UDÍAS,NGBE,2.1.9,,,5876
Candenosa,42.852906,-4.121826,VALDEPRADO DEL RÍO,NGBE,2.1.4,,,13416
Candolías,43.157715,-3.802002,VEGA DE PAS,NGBE,2.1.9,,,1166
Cañeda,43.018310,-4.118408,CAMPOO DE ENMEDIO,NGBE,2.1.4,,,13418
Cañedo,43.181274,-3.575011,SOBA,NGBE,2.1.4,,,13419
Cara,43.375305,-4.337891,VALDÁLIGA,NGBE,2.1.6,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Cara&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,5926
Caranceja,43.336121,-4.169189,REOCÍN,NGBE,2.1.4,,,13420
Carandía,43.337096,-3.975403,PIÉLAGOS,NGBE,2.1.4,,,13421
Carasa,43.371520,-3.460691,VOTO,NGBE,2.1.4,,,13422
Carazón,43.335326,-3.322022,GURIEZO,NGBE,2.1.9,,,1188
Carite,43.417245,-3.577415,HAZAS DE CESTO,Autonómico,2.1.6,,,88206
Carmona,43.254089,-4.358887,CABUÉRNIGA,NGBE,2.1.4,,,13423
Carnerizas,43.409484,-3.481807,BÁRCENA DE CICERO,NGBE,2.1.6,,,1191
Carrales,43.309011,-3.573257,RUESGA,Autonómico,2.1.6,,,175109
Carrascal de Cocejón,43.090088,-3.871583,LUENA,NGBE,2.1.4,,,13424
Carrascal de San Miguel,43.092285,-3.916077,LUENA,NGBE,2.1.9,,,5950
Carrastrada,43.399109,-4.169311,ALFOZ DE LLOREDO,NGBE,2.1.6,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Carrastrada&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,5955
Carrejo,43.293884,-4.237488,CABEZÓN DE LA SAL,NGBE,2.1.4,,,13426
Carriazo,43.451358,-3.681107,RIBAMONTÁN AL MAR,NGBE,2.1.4,,,13427
Carriazo,43.451358,-3.681107,RIBAMONTÁN AL MAR,NGBE,2.1.3,,,14044
Cartes,43.323444,-4.069856,Varios o fuera de Cantabria,NGBE,2.1.9,,,1194
Cartes,43.323444,-4.069856,Varios o fuera de Cantabria,NGBE,2.1.3,,,14047
Casa del Monte,43.341673,-3.788695,LIÉRGANES,NGBE,2.1.6,,,1270
Casamaría,43.318116,-4.513001,HERRERÍAS,NGBE,2.1.4,,,13429
Casar,43.337280,-4.177185,CABEZÓN DE LA SAL,NGBE,2.1.4,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Casar&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,13430
Casares y Quevedo,43.128723,-4.036987,MOLLEDO,NGBE,2.1.6,,,154
Casasola,43.388489,-4.269409,RUILOBA,NGBE,2.1.9,,,5996
Casavieja,43.290100,-3.388488,RASINES,NGBE,2.1.9,,,5997
Castanedo,43.447324,-3.696406,RIBAMONTÁN AL MAR,NGBE,2.1.4,,,13431
Castillo,43.457091,-3.553216,ARNUERO,NGBE,2.1.4,,,13432
Castillo Pedroso,43.216675,-3.969910,CORVERA DE TORANZO,NGBE,2.1.4,,,13433
Castrillo de Valdelomar,42.797119,-4.122924,VALDERREDIBLE,NGBE,2.1.4,,,13434
Castrillo del Haya,42.911927,-4.173095,VALDEOLEA,NGBE,2.1.4,,,13435
Castro-Cillorigo,43.197327,-4.602723,CILLORIGO DE LIÉBANA,NGBE,2.1.4,,,13436
Castro-Urdiales,43.383768,-3.217759,CASTRO-URDIALES,NGBE,2.1.9,,,1382
Castro-Urdiales,43.383768,-3.217759,CASTRO-URDIALES,NGBE,2.1.3,,,14061
Casuso,43.412291,-3.546992,BÁRCENA DE CICERO,NGBE,2.1.6,,,1383
Caviedes,43.339478,-4.326477,VALDÁLIGA,NGBE,2.1.4,,,13437
Caviña,43.308933,-4.390587,VALDÁLIGA,NGBE,2.1.6,,,6053
Cazpurrión,43.119690,-3.903809,LUENA,NGBE,2.1.9,,,6056
Ceceñas,43.374381,-3.717302,MEDIO CUDEYO,NGBE,2.1.4,,,13438
Ceceño,43.382690,-4.325989,VALDÁLIGA,NGBE,2.1.6,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Cece%C3%B1o&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,6058
Cejancas,42.879090,-3.907411,VALDERREDIBLE,NGBE,2.1.4,,,13439
Celada de los Calderones,43.016296,-4.252990,HERMANDAD DE CAMPOO DE SUSO,NGBE,2.1.4,,,13440
Celada-Marlantes,42.946899,-4.104492,CAMPOO DE ENMEDIO,NGBE,2.1.4,,,13441
Celis,43.282715,-4.434693,RIONANSA,NGBE,2.1.4,,,13442
Celucos,43.275696,-4.433106,RIONANSA,NGBE,2.1.9,,,6066
Cerbiago,43.348510,-3.407591,AMPUERO,NGBE,2.1.9,,,6070
Cerdigo,43.399903,-3.265806,CASTRO-URDIALES,NGBE,2.1.4,,,13443
Cereceda,43.318298,-3.415282,RASINES,NGBE,2.1.9,,,6072
Cerecedas,43.454894,-3.494684,ARGOÑOS,NGBE,2.1.9,,,1399
Cerrazo,43.364929,-4.121887,REOCÍN,NGBE,2.1.4,,,13444
Cervatos,42.956299,-4.146911,CAMPOO DE ENMEDIO,NGBE,2.1.4,,,13445
Cicera,43.235902,-4.550599,PEÑARRUBIA,NGBE,2.1.9,,,6114
Cicero,43.410278,-3.487178,BÁRCENA DE CICERO,NGBE,2.1.4,,,13446
Cigüenza,43.387878,-4.179992,ALFOZ DE LLOREDO,NGBE,2.1.4,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Cig%C3%BCenza&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,13447
Cires,43.242676,-4.499390,LAMASÓN,NGBE,2.1.9,https://pares.cultura.gob.es/catastro/servlets/ServletController?accion=4&opcionV=3&orden=0&loc=12135&pageNum=1,1749-1753,6130
Cobejo,43.127502,-4.062195,MOLLEDO,NGBE,2.1.4,,,13448
Cobeña,43.192689,-4.583314,CILLORIGO DE LIÉBANA,NGBE,2.1.9,,,6136
Cobijón,43.340515,-4.238098,UDÍAS,NGBE,2.1.9,,,6138
Cóbreces,43.387638,-4.214513,ALFOZ DE LLOREDO,NGBE,2.1.4,,,13449
Cohiño,43.189029,-4.080209,ARENAS DE IGUÑA,NGBE,2.1.9,,,1413
Colindres,43.395023,-3.446740,COLINDRES,NGBE,2.1.9,,,1417
Colindres,43.395023,-3.446740,COLINDRES,NGBE,2.1.3,,,14080
Colio,43.193786,-4.632600,CILLORIGO DE LIÉBANA,NGBE,2.1.4,,,13450
Collado,43.239929,-4.096680,CIEZA,NGBE,2.1.9,,,6176
Colsa,43.154376,-4.267395,TOJOS (LOS),NGBE,2.1.6,,,6259
Colsedo,43.331861,-3.561502,VOTO,Autonómico,2.1.6,,,137638
Comillas,43.385153,-4.291634,COMILLAS,NGBE,2.1.9,,,1454
Comillas,43.385153,-4.291634,COMILLAS,NGBE,2.1.3,,,14083
Concha,43.385925,-4.265991,RUILOBA,NGBE,2.1.9,,,6267
Congarna,43.155884,-4.660889,CAMALEÑO,NGBE,2.1.9,,,6273
Coo,43.275085,-4.106079,CORRALES DE BUELNA (LOS),NGBE,2.1.4,,,13451
Corada,42.808900,-3.966005,VALDERREDIBLE,Autonómico,2.1.6,,,316348
Corconte,43.040396,-3.893641,CAMPOO DE YUSO,NGBE,2.1.4,,,13452
Cornoció,43.424003,-3.536298,ESCALANTE,NGBE,2.1.9,,,6295
Coroneles,42.823731,-4.077210,VALDERREDIBLE,NGBE,2.1.4,,,13453
Corral,43.304133,-4.099340,CARTES,NGBE,2.1.9,https://pares.cultura.gob.es/catastro/servlets/ServletController?accion=4&opcionV=3&orden=0&loc=12123&pageNum=1,1749-1753,6304
Correpoco,43.169128,-4.274108,TOJOS (LOS),NGBE,2.1.4,,,13454
Correpoco,43.169128,-4.274108,TOJOS (LOS),NGBE,2.1.3,,,14086
Cortiguera,43.409301,-4.038819,SUANCES,NGBE,2.1.4,,,13456
Corvera,43.266113,-3.947022,CORVERA DE TORANZO,NGBE,2.1.4,,,13457
Corvera,43.284427,-3.645625,ARREDONDO,Autonómico,2.1.6,,,173093
Cos,43.289917,-4.224914,MAZCUERRAS,NGBE,2.1.4,,,13458
